IaC_File,Precision,Recall,Fscore,Success_rate,MRR
ansible-hardening/tasks/rhel7stig/auth.yml_(IaC)_,0.5,0.5555555555555556,0.5263157894736842,1.0,1.0
ansible-hardening/defaults/main.yml_(Other)_,0.0,0.0,0.0,0.0,0.0
ansible-hardening/meta/main.yml_(Other)_,0.0,0.0,0.0,0.0,0.0
ansible-hardening/vars/main.yml_(Other)_,0.0,0.0,0.0,0.0,0.0
ansible-hardening/vars/redhat-8.yml_(Other)_,0.0,0.0,0.0,0.0,0.0
ansible-hardening/tasks/rhel7stig/kernel.yml_(IaC)_,0.4,0.4444444444444444,0.4210526315789474,1.0,0.5
ansible-hardening/tasks/rhel7stig/file_perms.yml_(IaC)_,0.3,0.3333333333333333,0.3157894736842105,1.0,1.0
ansible-hardening/tasks/rhel7stig/main.yml_(IaC)_,0.3,0.3333333333333333,0.3157894736842105,1.0,1.0
ansible-hardening/tasks/rhel7stig/aide.yml_(IaC)_,0.3,0.3333333333333333,0.3157894736842105,1.0,1.0
ansible-hardening/tasks/rhel7stig/accounts.yml_(IaC)_,0.4,0.4444444444444444,0.4210526315789474,1.0,0.5
