IaC_File,Precision,Recall,Fscore,Success_rate,MRR
puppet-tp/manifests/conf.pp_(IaC)_,0.4,0.3333333333333333,0.3636363636363636,1.0,0.5
puppet-tp/metadata.json_(Other)_,0.0,0.0,0.0,0.0,0.0
puppet-tp/spec/defines/tp_install_spec.rb_(Other)_,0.0,0.0,0.0,0.0,0.0
puppet-tp/spec/tpdata/centos-7-x86_64/elasticsearch_(Other)_,0.0,0.0,0.0,0.0,0.0
puppet-tp/spec/tpdata/ubuntu-16.04-x86_64/elasticsearch_(Other)_,0.0,0.0,0.0,0.0,0.0
puppet-tp/templates/inifile.erb_(Other)_,0.0,0.0,0.0,0.0,0.0
puppet-tp/templates/inifile_with_stanzas.erb_(Other)_,0.0,0.0,0.0,0.0,0.0
puppet-tp/templates/spaced.erb_(Other)_,0.0,0.0,0.0,0.0,0.0
puppet-tp/templates/spaced_with_stanzas.erb_(Other)_,0.0,0.0,0.0,0.0,0.0
puppet-tp/manifests/repo.pp_(IaC)_,0.2,0.16666666666666666,0.1818181818181818,1.0,1.0
puppet-tp/manifests/init.pp_(IaC)_,0.2,0.16666666666666666,0.1818181818181818,1.0,0.3333333333333333
puppet-tp/types/settings.pp_(IaC)_,0.3,0.25,0.2727272727272727,1.0,1.0
puppet-tp/manifests/install.pp_(IaC)_,0.1,0.08333333333333333,0.0909090909090909,1.0,1.0
