IaC_File,Precision,Recall,Fscore,Success_rate,MRR
postgresql_cluster/roles/consul/tasks/install.yml_(IaC)_,0.0,0.0,0.0,0.0,0.0
postgresql_cluster/.config/ansible-lint.yml_(Other)_,0.0,0.0,0.0,0.0,0.0
postgresql_cluster/config_pgcluster.yml_(Other)_,0.0,0.0,0.0,0.0,0.0
postgresql_cluster/deploy_pgcluster.yml_(Other)_,0.0,0.0,0.0,0.0,0.0
postgresql_cluster/meta/main.yml_(Other)_,0.0,0.0,0.0,0.0,0.0
postgresql_cluster/meta/runtime.yml_(Other)_,0.0,0.0,0.0,0.0,0.0
postgresql_cluster/molecule/default/prepare.yml_(Other)_,0.0,0.0,0.0,0.0,0.0
postgresql_cluster/molecule/postgrespro/prepare.yml_(Other)_,0.0,0.0,0.0,0.0,0.0
postgresql_cluster/roles/pam_limits/tasks/main.yml_(IaC)_,1.0,0.03225806451612903,0.0625,1.0,1.0
postgresql_cluster/roles/consul/tasks/install_windows.yml_(IaC)_,0.0,0.0,0.0,0.0,0.0
postgresql_cluster/roles/sysctl/tasks/main.yml_(IaC)_,0.0,0.0,0.0,0.0,0.0
postgresql_cluster/roles/postgresql-databases/tasks/main.yml_(IaC)_,0.0,0.0,0.0,0.0,0.0
postgresql_cluster/roles/swap/tasks/main.yml_(IaC)_,1.0,0.03225806451612903,0.0625,1.0,1.0
postgresql_cluster/roles/patroni/tasks/main.yml_(IaC)_,0.0,0.0,0.0,0.0,0.0
postgresql_cluster/roles/haproxy/tasks/main.yml_(IaC)_,0.0,0.0,0.0,0.0,0.0
postgresql_cluster/roles/ssh-keys/tasks/main.yml_(IaC)_,1.0,0.03225806451612903,0.0625,1.0,1.0
postgresql_cluster/roles/keepalived/tasks/main.yml_(IaC)_,0.0,0.0,0.0,0.0,0.0
postgresql_cluster/roles/postgresql-users/tasks/main.yml_(IaC)_,0.0,0.0,0.0,0.0,0.0
postgresql_cluster/roles/locales/tasks/main.yml_(IaC)_,0.0,0.0,0.0,0.0,0.0
postgresql_cluster/roles/timezone/tasks/main.yml_(IaC)_,0.0,0.0,0.0,0.0,0.0
postgresql_cluster/roles/wal-g/tasks/main.yml_(IaC)_,0.0,0.0,0.0,0.0,0.0
postgresql_cluster/roles/patroni/tasks/custom_wal_dir.yml_(IaC)_,0.0,0.0,0.0,0.0,0.0
postgresql_cluster/roles/consul/tasks/config_windows.yml_(IaC)_,0.0,0.0,0.0,0.0,0.0
postgresql_cluster/roles/consul/handlers/restart_consul.yml_(IaC)_,0.0,0.0,0.0,0.0,0.0
postgresql_cluster/roles/consul/handlers/start_consul.yml_(IaC)_,0.0,0.0,0.0,0.0,0.0
postgresql_cluster/roles/consul/tasks/services.yml_(IaC)_,0.0,0.0,0.0,0.0,0.0
postgresql_cluster/roles/ansible-role-firewall/tasks/main.yml_(IaC)_,0.0,0.0,0.0,0.0,0.0
postgresql_cluster/roles/consul/tasks/dirs.yml_(IaC)_,0.0,0.0,0.0,0.0,0.0
postgresql_cluster/roles/consul/tasks/windows.yml_(IaC)_,0.0,0.0,0.0,0.0,0.0
postgresql_cluster/roles/pgbackrest/tasks/ssh_keys.yml_(IaC)_,0.0,0.0,0.0,0.0,0.0
postgresql_cluster/roles/postgresql-extensions/tasks/main.yml_(IaC)_,1.0,0.03225806451612903,0.0625,1.0,1.0
