Generation,Average_fitness,Max_fitness,Min_fitness,Best_individual
1,[0.15655739],[0.17686352],[0.12658563],"[354, 323, 266, 299, 205, 77, 240, 371, 283, 604, 446]"
2,[0.18391704],[0.20751048],[0.16565413],"[354, 227, 293, 225, 228, 77, 240, 371, 533, 604, 446]"
3,[0.20920558],[0.22936723],[0.17887023],"[354, 227, 293, 225, 228, 327, 240, 371, 302, 604, 446]"
4,[0.22503153],[0.23262276],[0.20901958],"[371, 228, 240, 299, 303, 293, 227, 354, 235, 604, 446]"
5,[0.22832538],[0.23552536],[0.],"[240, 354, 293, 303, 299, 228, 227, 371, 235, 604, 446]"
6,[0.23073605],[0.24362161],[0.],"[228, 225, 240, 299, 303, 293, 227, 371, 235, 604, 446]"
7,[0.23582385],[0.24631649],[0.],"[240, 225, 299, 303, 228, 235, 227, 371, 293, 604, 446]"
8,[0.23991498],[0.2479971],[0.],"[240, 225, 227, 303, 235, 228, 293, 371, 302, 117, 446]"
9,[0.24410899],[0.25388558],[0.18768943],"[240, 225, 227, 299, 235, 228, 293, 371, 302, 117, 446]"
10,[0.24755984],[0.2544281],[0.23211023],"[240, 225, 227, 299, 235, 228, 293, 327, 302, 117, 446]"
11,[0.24982094],[0.2545498],[0.21075247],"[240, 225, 227, 299, 228, 235, 293, 327, 302, 117, 446]"
12,[0.25186689],[0.25467269],[0.23906757],"[240, 225, 227, 235, 299, 228, 293, 327, 302, 117, 446]"
13,[0.25247286],[0.25467269],[0.22495597],"[240, 225, 227, 235, 299, 228, 293, 327, 302, 117, 446]"
14,[0.25307092],[0.25467269],[0.22769141],"[240, 225, 227, 235, 299, 228, 293, 327, 302, 117, 446]"
15,[0.25311581],[0.25467269],[0.2166919],"[240, 225, 227, 235, 299, 228, 293, 327, 302, 117, 446]"
16,[0.25291394],[0.25467269],[0.2328143],"[240, 225, 227, 235, 299, 228, 293, 327, 302, 117, 446]"
17,[0.25293962],[0.25467269],[0.22204931],"[240, 225, 227, 235, 299, 228, 293, 327, 302, 117, 446]"
18,[0.25334557],[0.25538531],[0.23432865],"[240, 228, 227, 225, 299, 302, 293, 235, 327, 117, 446]"
19,[0.24971186],[0.25538531],[0.],"[240, 228, 227, 225, 299, 302, 293, 235, 327, 117, 446]"
20,[0.25066675],[0.25538531],[0.],"[240, 228, 227, 225, 299, 302, 293, 235, 327, 117, 446]"
21,[0.25107266],[0.25538531],[0.],"[240, 228, 227, 225, 299, 302, 293, 235, 327, 117, 446]"
22,[0.25098187],[0.25573568],[0.],"[240, 228, 235, 225, 299, 227, 293, 302, 327, 117, 446]"
23,[0.25100954],[0.25593641],[0.],"[240, 228, 227, 225, 299, 235, 293, 302, 327, 117, 446]"
24,[0.25198752],[0.25593641],[0.],"[240, 228, 227, 225, 299, 235, 293, 302, 327, 117, 446]"
25,[0.252481],[0.25593641],[0.],"[240, 228, 227, 225, 299, 235, 293, 302, 327, 117, 446]"
26,[0.25284561],[0.25593641],[0.],"[240, 228, 227, 225, 299, 235, 293, 302, 327, 117, 446]"
27,[0.25383711],[0.25593641],[0.21939706],"[240, 228, 227, 225, 299, 235, 293, 302, 327, 117, 446]"
28,[0.25439716],[0.25593641],[0.2144099],"[240, 228, 227, 225, 299, 235, 293, 302, 327, 117, 446]"
29,[0.25460459],[0.25593641],[0.22108418],"[240, 228, 227, 225, 299, 235, 293, 302, 327, 117, 446]"
30,[0.25445364],[0.25593641],[0.22108418],"[240, 228, 227, 225, 299, 235, 293, 302, 327, 117, 446]"
31,[0.25452143],[0.25593641],[0.22108418],"[240, 228, 227, 225, 299, 235, 293, 302, 327, 117, 446]"
32,[0.25432616],[0.25593641],[0.21731208],"[240, 228, 227, 225, 299, 235, 293, 302, 327, 117, 446]"
33,[0.25313018],[0.25593641],[0.],"[240, 228, 227, 225, 299, 235, 293, 302, 327, 117, 446]"
34,[0.25435137],[0.25612621],[0.22322464],"[240, 227, 228, 225, 235, 299, 293, 302, 327, 117, 446]"
35,[0.25482281],[0.256181],[0.19815377],"[240, 228, 227, 225, 235, 299, 293, 302, 327, 117, 446]"
36,[0.25495246],[0.256181],[0.21318443],"[240, 228, 227, 225, 235, 299, 293, 302, 327, 117, 446]"
37,[0.25523844],[0.256181],[0.22971638],"[240, 228, 227, 225, 235, 299, 293, 302, 327, 117, 446]"
38,[0.25527618],[0.256181],[0.22672607],"[240, 228, 227, 225, 235, 299, 293, 302, 327, 117, 446]"
39,[0.25509862],[0.256181],[0.22359552],"[240, 228, 227, 225, 235, 299, 293, 302, 327, 117, 446]"
40,[0.25548426],[0.256181],[0.23144916],"[240, 228, 227, 225, 235, 299, 293, 302, 327, 117, 446]"
41,[0.25524772],[0.256181],[0.23639999],"[240, 228, 227, 225, 235, 299, 293, 302, 327, 117, 446]"
42,[0.25534781],[0.256181],[0.23923765],"[240, 228, 227, 225, 235, 299, 293, 302, 327, 117, 446]"
43,[0.25520153],[0.256181],[0.23071415],"[240, 228, 227, 225, 235, 299, 293, 302, 327, 117, 446]"
44,[0.25522947],[0.256181],[0.21833538],"[240, 228, 227, 225, 235, 299, 293, 302, 327, 117, 446]"
45,[0.25539344],[0.256181],[0.20785943],"[240, 228, 227, 225, 235, 299, 293, 302, 327, 117, 446]"
46,[0.25553027],[0.256181],[0.23655581],"[240, 228, 227, 225, 235, 299, 293, 302, 327, 117, 446]"
47,[0.2555515],[0.256181],[0.2405096],"[240, 228, 227, 225, 235, 299, 293, 302, 327, 117, 446]"
48,[0.25535673],[0.256181],[0.22617515],"[240, 228, 227, 225, 235, 299, 293, 302, 327, 117, 446]"
49,[0.25489444],[0.256181],[0.22118813],"[240, 228, 227, 225, 235, 299, 293, 302, 327, 117, 446]"
50,[0.25501768],[0.256181],[0.22696289],"[240, 228, 227, 225, 235, 299, 293, 302, 327, 117, 446]"
51,[0.25486466],[0.256181],[0.23015617],"[240, 228, 227, 225, 235, 299, 293, 302, 327, 117, 446]"
52,[0.25531884],[0.256181],[0.23688385],"[240, 228, 227, 225, 235, 299, 293, 302, 327, 117, 446]"
53,[0.25497426],[0.256181],[0.21719839],"[240, 228, 227, 225, 235, 299, 293, 302, 327, 117, 446]"
54,[0.25520816],[0.256181],[0.23078494],"[240, 228, 227, 225, 235, 299, 293, 302, 327, 117, 446]"
55,[0.25554496],[0.25644885],[0.23498463],"[240, 228, 227, 225, 235, 299, 302, 293, 327, 117, 446]"
56,[0.25555372],[0.25644885],[0.22945533],"[240, 228, 227, 225, 235, 299, 302, 293, 327, 117, 446]"
57,[0.25577797],[0.25644885],[0.23606643],"[240, 228, 227, 225, 235, 299, 302, 293, 327, 117, 446]"
58,[0.25591881],[0.25644885],[0.24262709],"[240, 228, 227, 225, 235, 299, 302, 293, 327, 117, 446]"
59,[0.25576121],[0.25644885],[0.23339841],"[240, 228, 227, 225, 235, 299, 302, 293, 327, 117, 446]"
60,[0.25582465],[0.25644885],[0.2409023],"[240, 228, 227, 225, 235, 299, 302, 293, 327, 117, 446]"
61,[0.25595278],[0.25644885],[0.23601684],"[240, 228, 227, 225, 235, 299, 302, 293, 327, 117, 446]"
62,[0.2558791],[0.25644885],[0.23820908],"[240, 228, 227, 225, 235, 299, 302, 293, 327, 117, 446]"
63,[0.25565007],[0.25644885],[0.23733929],"[240, 228, 227, 225, 235, 299, 302, 293, 327, 117, 446]"
64,[0.25561653],[0.25644885],[0.23483166],"[240, 228, 227, 225, 235, 299, 302, 293, 327, 117, 446]"
