IaC_File,Precision,Recall,Fscore,Success_rate,MRR
puppet-prometheus/manifests/ipmi_exporter.pp_(IaC)_,0.6666666666666666,0.06451612903225806,0.1176470588235294,1.0,1.0
puppet-prometheus/manifests/haproxy_exporter.pp_(IaC)_,1.0,0.0967741935483871,0.17647058823529413,1.0,1.0
puppet-prometheus/manifests/varnish_exporter.pp_(IaC)_,0.3333333333333333,0.03225806451612903,0.0588235294117647,1.0,1.0
puppet-prometheus/manifests/beanstalkd_exporter.pp_(IaC)_,0.6666666666666666,0.06451612903225806,0.1176470588235294,1.0,1.0
puppet-prometheus/manifests/ssh_exporter.pp_(IaC)_,1.0,0.0967741935483871,0.17647058823529413,1.0,1.0
puppet-prometheus/manifests/mysqld_exporter.pp_(IaC)_,0.6666666666666666,0.06451612903225806,0.1176470588235294,1.0,1.0
puppet-prometheus/manifests/process_exporter.pp_(IaC)_,1.0,0.0967741935483871,0.17647058823529413,1.0,1.0
puppet-prometheus/manifests/pushprox_client.pp_(IaC)_,1.0,0.0967741935483871,0.17647058823529413,1.0,1.0
puppet-prometheus/manifests/dellhw_exporter.pp_(IaC)_,1.0,0.0967741935483871,0.17647058823529413,1.0,1.0
puppet-prometheus/manifests/puppetdb_exporter.pp_(IaC)_,1.0,0.0967741935483871,0.17647058823529413,1.0,1.0
puppet-prometheus/manifests/redis_exporter.pp_(IaC)_,0.6666666666666666,0.06451612903225806,0.1176470588235294,1.0,1.0
puppet-prometheus/manifests/memcached_exporter.pp_(IaC)_,0.6666666666666666,0.06451612903225806,0.1176470588235294,1.0,1.0
puppet-prometheus/manifests/ssl_exporter.pp_(IaC)_,0.6666666666666666,0.06451612903225806,0.1176470588235294,1.0,1.0
puppet-prometheus/manifests/snmp_exporter.pp_(IaC)_,0.6666666666666666,0.06451612903225806,0.1176470588235294,1.0,1.0
puppet-prometheus/manifests/pushprox_proxy.pp_(IaC)_,1.0,0.0967741935483871,0.17647058823529413,1.0,1.0
puppet-prometheus/manifests/rabbitmq_exporter.pp_(IaC)_,0.6666666666666666,0.06451612903225806,0.1176470588235294,1.0,1.0
puppet-prometheus/manifests/mesos_exporter.pp_(IaC)_,0.6666666666666666,0.06451612903225806,0.1176470588235294,1.0,1.0
puppet-prometheus/manifests/elasticsearch_exporter.pp_(IaC)_,0.6666666666666666,0.06451612903225806,0.1176470588235294,1.0,1.0
puppet-prometheus/manifests/node_exporter.pp_(IaC)_,1.0,0.0967741935483871,0.17647058823529413,1.0,1.0
puppet-prometheus/manifests/bind_exporter.pp_(IaC)_,1.0,0.0967741935483871,0.17647058823529413,1.0,1.0
puppet-prometheus/manifests/grok_exporter.pp_(IaC)_,0.6666666666666666,0.06451612903225806,0.1176470588235294,1.0,1.0
puppet-prometheus/manifests/consul_exporter.pp_(IaC)_,1.0,0.0967741935483871,0.17647058823529413,1.0,1.0
puppet-prometheus/manifests/alertmanager.pp_(IaC)_,1.0,0.0967741935483871,0.17647058823529413,1.0,1.0
puppet-prometheus/manifests/mongodb_exporter.pp_(IaC)_,1.0,0.0967741935483871,0.17647058823529413,1.0,1.0
puppet-prometheus/manifests/pushgateway.pp_(IaC)_,1.0,0.0967741935483871,0.17647058823529413,1.0,1.0
puppet-prometheus/manifests/statsd_exporter.pp_(IaC)_,1.0,0.0967741935483871,0.17647058823529413,1.0,1.0
puppet-prometheus/manifests/openvpn_exporter.pp_(IaC)_,0.6666666666666666,0.06451612903225806,0.1176470588235294,1.0,1.0
puppet-prometheus/manifests/apache_exporter.pp_(IaC)_,1.0,0.0967741935483871,0.17647058823529413,1.0,1.0
puppet-prometheus/manifests/blackbox_exporter.pp_(IaC)_,0.3333333333333333,0.03225806451612903,0.0588235294117647,1.0,1.0
puppet-prometheus/manifests/unbound_exporter.pp_(IaC)_,1.0,0.0967741935483871,0.17647058823529413,1.0,1.0
